"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"SLC26A1",0.19,0.0044,0.42,0.87,0.62,0.85,0.65,0.52,0.23,0.0054,0.3,0.0014,0.19,0.16,0.041,0.055,0.41,0.82,0.49,0.61,0.31,0.33,0.73,0.26,0.97,0.8,0.24,0.77,0.17,0.49,0.2,0.94,0.24
"SLC26A10",1,0.48,0.28,0.93,0.23,0.11,0.89,0.46,0.24,0.29,0.88,0.0015,0.15,0.8,0.68,0.71,0.52,0.88,0.00012,0.6,0.0049,0.11,0.84,0.54,0.61,0.68,0.045,0.47,0.091,0.97,0.27,0.18,0.089
"SLC26A11",0.0016,0.52,0.43,0.3,0.63,0.24,0.94,0.11,0.38,0.16,0.25,0.052,0.12,0.57,0.19,0.0015,0.063,0.92,0.59,0.91,1,0.58,0.89,0.82,0.71,0.2,0.087,0.6,0.97,0.18,0.79,0.72,0.012
"SLC26A2",0.77,0.21,0.092,0.38,0.8,0.18,0.23,0.6,0.057,0.8,0.012,0.036,0.57,0.38,1,0.26,0.36,0.7,0.1,0.51,0.37,0.81,0.66,0.23,0.31,0.04,0.72,0.77,0.14,0.47,0.12,0.58,0.35
"SLC26A3",1,1,0.38,1,0.3,0.095,1,0.65,0.54,1,0.46,1,1,1,0.79,0.44,1,1,1,1,0.83,1,0.032,0.36,1,1,0.59,0.45,0.36,0.44,1,1,1
"SLC26A4",0.035,0.0073,0.43,0.35,0.92,0.43,0.48,0.83,0.43,0.88,0.57,0.0015,0.69,0.15,0.0059,0.89,0.78,0.53,0.089,0.78,0.88,0.16,0.96,0.1,0.17,0.00038,0.82,0.7,0.94,0.89,0.11,0.28,0.32
"SLC26A5",0.53,0.16,0.47,0.31,0.25,0.26,1,0.9,0.53,0.88,0.58,0.52,0.82,0.024,0.76,0.097,0.029,0.7,0.87,0.32,0.77,0.82,0.94,1,1,1,0.93,0.88,0.56,0.83,0.58,0.46,1
"SLC26A6",0.00031,0.14,0.96,0.15,0.81,0.65,0.61,0.25,0.23,0.77,0.0069,1,0.83,0.16,0.0017,0.0093,0.64,0.12,1,0.55,0.59,0.31,0.23,0.33,0.0071,0.21,0.24,0.99,0.31,0.017,0.59,0.3,0.96
"SLC26A7",0.58,0.049,0.87,0.69,0.6,0.84,0.52,0.13,0.06,0.57,0.45,0.66,0.37,0.011,0.0049,0.71,0.22,0.64,0.32,0.57,0.33,0.6,0.36,0.04,0.46,0.38,0.21,0.46,0.18,0.42,0.82,0.2,0.029
"SLC26A8",0.21,0.0025,0.1,0.63,0.039,0.76,0.97,0.13,0.54,0.88,0.42,0.63,0.73,0.33,0.58,0.57,0.62,0.75,0.012,0.67,0.44,0.54,0.97,0.62,0.69,0.8,0.25,0.61,0.86,0.036,0.45,0.56,0.085
"SLC26A9",0.15,0.81,0.11,0.19,0.46,0.6,0.42,0.58,0.19,0.00064,0.034,0.029,0.58,0.24,0.26,0.6,0.39,0.01,0.17,1,0.14,0.48,0.52,0.96,0.18,0.21,0.86,0.98,0.58,0.8,0.86,0.26,1
"SLC27A1",0.66,0.12,0.17,0.5,0.47,0.73,0.063,0.53,0.48,0.6,0.069,0.00062,0.94,0.45,0.00062,0.86,0.21,0.41,0.53,0.26,0.7,0.78,0.64,0.38,0.38,0.39,0.84,0.35,0.97,0.72,0.5,0.37,0.83
"SLC27A2",0.00048,0.47,0.26,0.54,0.72,0.1,0.29,0.51,0.57,0.58,0.31,1,0.71,0.086,0.88,0.097,0.035,0.58,0.24,0.089,0.69,0.29,0.93,0.049,0.2,0.00018,0.23,0.76,0.94,0.2,0.096,0.75,0.0035
"SLC27A3",1,0.28,1,0.032,0.57,0.2,0.78,0.58,0.08,0.36,0.7,0.49,0.86,0.5,1,0.82,0.51,0.58,0.41,0.0085,0.65,0.94,0.37,0.0028,0.51,0.63,0.99,0.32,0.55,0.73,0.72,0.77,0.016
"SLC27A4",1,0.77,0.089,0.44,0.47,0.97,0.28,0.24,0.94,0.64,0.3,0.16,0.085,0.0086,0.0046,0.0028,0.06,0.33,0.043,0.013,0.76,0.71,0.75,0.67,0.9,1,0.77,0.44,0.21,0.2,0.14,0.78,0.024
"SLC27A5",0.87,0.23,0.59,0.87,0.79,0.28,0.041,0.25,0.77,0.52,0.74,0.55,0.2,0.45,0.11,0.014,0.2,0.14,0.14,0.88,0.13,0.27,0.84,0.66,0.57,0.73,0.33,0.053,0.012,0.98,0.23,0.31,0.0019
"SLC27A6",0.1,0.0013,0.0012,0.76,0.99,0.24,1,0.6,0.43,0.053,0.89,1,1,0.65,0.38,1,0.49,0.65,0.85,0.8,0.6,0.18,0.56,0.23,0.25,0.57,0.2,0.29,0.19,0.94,0.82,0.48,0.85
"SLC28A1",0.5,0.62,0.79,0.38,0.59,0.4,0.69,0.16,0.094,0.98,0.3,1,0.073,1,0.52,0.15,0.65,0.28,0.16,0.98,0.78,0.44,0.47,0.21,0.12,0.12,0.21,0.024,0.64,0.091,0.31,0.94,0.4
"SLC28A2",0.28,0.89,0.094,0.32,0.14,0.27,0.34,0.82,0.98,0.65,0.005,0.88,0.83,0.93,0.02,0.8,0.44,0.48,0.036,0.064,0.48,1,0.14,0.56,0.18,0.07,0.26,0.18,0.28,0.48,0.84,0.99,1
"SLC28A3",1,0.53,0.055,0.15,0.86,0.55,0.93,0.89,0.43,0.077,0.16,0.011,0.5,0.029,0.01,0.64,0.88,0.15,0.0033,0.38,0.37,0.1,0.48,0.27,0.89,0.49,0.96,0.46,0.35,0.074,0.88,0.55,1
"SLC29A1",0.00034,0.65,0.073,0.11,0.75,0.98,0.11,0.69,0.32,0.22,0.81,0.91,0.021,0.071,0.042,0.39,0.28,0.87,0.0045,0.55,0.96,0.3,0.8,0.18,0.8,0.11,0.43,0.48,0.35,0.0083,0.9,0.18,0.24
"SLC29A2",0.091,0.19,0.49,0.73,0.65,0.98,0.4,0.91,0.85,0.65,0.32,0.44,0.33,0.0058,0.1,0.9,0.52,0.92,0.15,0.76,0.99,0.5,0.74,0.76,0.57,0.15,0.29,0.49,0.76,0.95,0.85,0.52,0.0021
"SLC29A3",0.085,0.078,0.71,0.17,0.85,0.78,0.11,0.84,0.6,0.99,0.38,0.78,0.84,0.19,0.61,1,0.38,0.8,0.83,0.016,0.82,0.48,0.11,0.45,0.046,0.014,0.71,0.17,0.13,0.93,0.98,0.29,0.014
"SLC29A4",1,0.29,0.88,0.06,0.2,0.12,0.83,0.51,0.31,0.4,0.78,0.78,0.036,0.045,0.3,0.25,0.59,0.82,0.012,0.82,0.0036,0.015,0.68,0.65,0.044,0.00045,0.017,0.041,0.053,0.41,0.83,0.31,1
"SLC2A1",0.0024,0.35,0.57,0.079,0.83,0.85,0.68,0.26,0.95,0.77,0.059,0.49,0.026,0.66,0.017,0.00068,1,0.22,0.095,0.42,0.0043,0.86,0.9,0.5,0.013,0.0027,0.96,0.51,0.3,0.2,0.82,0.99,0.18
"SLC2A10",0.76,0.7,0.15,0.83,0.11,0.37,0.5,0.99,0.69,0.7,0.87,0.099,0.82,0.88,1,0.93,0.024,0.55,0.053,0.97,0.024,0.092,0.41,0.51,0.19,0.15,0.27,0.98,0.57,0.15,0.73,0.65,0.039
"SLC2A11",0.51,0.54,0.08,0.64,0.035,0.91,0.31,0.29,0.062,0.66,0.3,0.32,0.38,0.15,0.045,0.21,0.43,0.72,0.024,0.14,0.018,0.17,0.7,0.052,0.037,0.38,0.31,0.59,0.98,0.11,0.43,0.81,0.54
"SLC2A12",0.77,0.054,0.5,0.6,0.36,0.46,0.27,0.44,0.41,0.46,0.73,0.65,0.0081,0.35,0.95,0.19,0.32,0.18,0.63,0.37,0.5,0.88,0.66,0.41,0.85,0.34,0.88,0.36,0.056,0.42,0.48,0.27,0.23
"SLC2A13",0.42,0.2,0.46,0.77,1,0.57,0.69,0.54,0.98,0.84,0.067,0.00066,0.36,0.81,0.00032,0.22,0.83,0.41,0.015,0.45,0.51,0.095,0.26,1,0.51,0.21,0.71,0.55,0.084,1,0.14,0.96,0.62
"SLC2A14",0.049,0.052,0.45,0.64,0.091,0.83,1,0.23,0.26,0.2,0.4,0.86,0.44,0.29,0.099,0.068,0.16,0.6,0.25,0.42,0.6,0.098,0.88,0.023,0.64,0.53,0.49,0.3,0.26,0.23,0.53,0.92,1
"SLC2A2",1,1,1,1,0.5,0.5,1,0.95,0.68,1,0.15,0.00075,0.71,1,1,0.0019,1,1,1,1,0.95,1,1,1,1,1,0.12,1,1,1,1,0.28,1
"SLC2A3",0.044,0.22,0.79,0.36,0.4,0.077,0.68,0.22,0.035,0.065,0.86,0.52,0.72,0.085,0.023,0.41,0.88,0.18,0.0024,0.2,0.12,0.32,0.89,0.21,0.51,0.71,0.0017,0.52,0.2,0.47,0.63,0.4,0.0037
"SLC2A3P1",1,1,1,1,1,1,1,0.45,1,1,1,0.00031,1,0.36,0.91,1,1,1,1,1,1,1,1,1,1,1,0.44,1,1,1,1,1,1
"SLC2A3P2",1,1,0.8,1,0.054,0.97,1,0.73,0.66,1,0.96,0.27,0.94,0.32,0.8,1,0.41,0.77,1,0.17,0.53,0.17,0.11,0.14,1,0.11,0.36,1,0.45,1,1,1,0.46
"SLC2A3P4",0.16,1,0.5,0.78,0.76,0.064,0.42,0.33,0.012,0.6,0.97,0.18,0.023,0.58,0.56,0.094,0.024,0.18,0.029,0.67,0.5,0.85,0.2,0.31,0.9,0.028,0.32,0.54,0.38,0.85,0.74,0.85,1
"SLC2A4",0.18,0.036,0.7,0.76,0.99,0.58,0.41,0.45,0.96,0.14,0.89,0.19,0.11,0.23,0.0031,0.41,0.025,0.47,0.02,0.24,0.38,0.89,0.3,0.14,0.97,0.58,0.45,0.82,0.82,0.14,0.84,0.85,0.18
"SLC2A4RG",0.25,0.54,0.98,0.62,0.38,0.076,0.79,0.66,0.15,0.98,0.83,0.53,0.2,0.99,1,0.94,0.8,0.18,0.027,0.38,0.78,0.038,0.13,0.74,0.31,0.28,0.2,0.33,0.013,0.16,0.16,0.63,0.094
"SLC2A5",0.38,0.36,0.47,0.93,0.5,0.7,0.22,0.78,0.6,0.29,0.0074,0.39,0.79,0.01,0.1,0.19,0.82,0.2,0.27,0.34,0.2,0.54,0.84,0.43,0.011,0.0029,0.5,0.95,0.051,0.18,0.054,0.061,0.69
"SLC2A6",0.048,0.1,0.46,0.63,0.29,0.17,0.63,0.16,0.35,0.85,0.8,0.027,0.29,0.26,0.074,0.14,0.11,0.058,0.065,0.92,0.49,0.59,0.2,0.22,0.16,0.68,0.014,0.8,0.44,0.59,0.34,0.12,0.00018
"SLC2A7",1,1,1,1,1,1,1,1,1,1,1,0.11,1,1,1,1,1,1,1,1,1,1,0.7,1,1,1,1,0.44,1,0.44,1,1,1
"SLC2A8",0.91,0.33,0.17,0.019,0.24,0.14,0.98,0.79,0.84,0.011,0.47,0.00014,0.18,0.069,0.27,0.81,0.93,0.73,0.32,0.57,0.004,0.92,0.81,0.095,0.42,0.69,0.6,0.45,0.41,0.0066,0.54,0.28,0.72
"SLC2A9",0.56,0.83,0.8,0.08,0.45,0.17,0.45,0.87,0.085,0.025,0.58,1,0.049,0.29,0.00012,0.47,0.13,0.93,0.87,0.082,0.29,0.85,0.48,0.019,0.047,0.052,0.8,0.08,0.068,0.95,0.37,0.1,0.32
"SLC30A1",0.031,0.87,0.85,0.0088,0.97,0.67,0.39,0.95,0.75,0.2,0.87,1,0.35,0.27,0.13,0.18,0.014,0.19,0.81,0.34,0.0089,0.26,0.82,0.22,0.84,0.58,0.3,0.56,0.7,0.66,0.6,0.38,0.75
"SLC30A10",0.0011,0.77,1,0.017,0.73,0.44,0.98,0.033,0.27,0.1,1,0.2,1,0.41,0.19,0.32,1,0.089,0.6,0.23,0.91,0.054,0.26,0.61,0.44,0.94,0.66,0.41,1,0.092,0.07,0.74,0.86
"SLC30A2",1,0.68,0.21,0.33,0.8,0.72,0.69,0.52,0.98,0.57,0.95,0.012,0.27,1,0.55,0.93,0.49,0.17,0.15,0.48,0.27,0.28,0.6,0.58,0.9,0.043,0.12,0.32,0.96,0.74,0.2,0.16,0.021
"SLC30A3",0.66,0.062,0.42,0.64,0.79,0.081,0.47,0.7,0.67,0.29,0.71,0.27,0.00016,0.93,0.93,0.72,0.85,0.043,0.054,0.62,0.5,0.63,0.94,0.91,0.51,0.23,0.12,0.93,0.74,0.47,0.75,0.85,0.44
"SLC30A4",0.45,0.11,0.14,0.92,0.51,0.9,0.049,0.98,0.58,0.77,0.13,0.00039,0.37,0.58,0.99,0.89,0.78,0.19,0.65,0.43,0.042,0.65,0.4,0.34,0.12,0.9,0.17,0.079,0.13,0.029,0.92,0.56,0.27
"SLC30A5",0.037,0.54,0.36,0.39,0.19,0.82,0.7,0.41,0.44,0.52,0.0095,0.039,0.018,0.99,1,0.0034,0.4,0.33,0.43,0.26,0.41,0.085,0.77,0.072,0.79,0.45,0.91,0.51,0.58,0.7,0.19,0.58,0.92
"SLC30A6",0.0043,0.13,0.33,0.17,0.64,0.26,0.79,0.94,0.63,0.42,0.066,0.0086,0.35,0.062,0.00011,0.00027,0.55,0.69,0.62,0.19,0.014,0.43,0.68,0.16,0.78,0.66,0.44,0.43,0.3,0.88,1,0.96,0.59
"SLC30A7",0.38,0.6,0.8,0.057,0.16,0.67,0.25,0.57,0.84,0.77,0.02,0.012,0.8,0.25,1,0.042,0.17,0.58,0.36,0.19,0.48,0.9,0.5,0.29,0.24,0.83,0.19,0.33,0.44,0.38,1,0.81,0.51
"SLC30A8",0.061,1,0.88,1,1,1,0.88,0.88,1,0.75,1,0.13,0.2,1,1,1,0.31,0.43,1,1,0.56,0.32,0.89,0.9,0.63,0.018,0.017,0.76,0.74,0.28,1,0.79,1
"SLC30A9",0.57,0.89,0.2,0.21,0.22,0.0088,0.31,0.92,0.61,0.28,0.17,1,0.028,0.92,0.91,0.51,0.32,0.6,0.72,0.7,0.48,0.1,0.74,0.15,0.068,0.84,0.61,0.31,0.13,0.57,0.4,0.42,0.69
"SLC31A1",0.0012,0.068,0.0027,0.37,0.76,0.79,0.81,0.44,0.88,0.34,0.38,1,0.41,0.23,0.00012,0.081,0.66,0.42,1,0.75,0.43,0.35,0.81,0.83,0.67,0.027,0.15,0.05,0.36,0.038,0.24,0.39,0.99
"SLC31A1P1",1,1,1,0.097,0.69,1,1,0.75,1,1,1,0.061,0.74,1,1,1,1,0.27,1,0.14,1,1,1,1,1,1,0.21,1,1,1,1,1,1
"SLC31A2",0.31,0.43,0.72,0.81,0.12,0.72,0.4,0.71,0.96,0.1,0.86,0.00011,0.32,0.029,0.67,0.74,0.67,0.087,0.94,0.78,0.58,0.44,0.62,0.42,0.83,0.003,0.48,0.082,0.51,0.23,0.92,0.46,0.0026
"SLC32A1",1,1,1,1,1,1,0.48,1,0.21,1,1,1,1,1,0.83,1,1,1,1,1,1,0.27,1,1,1,1,1,0.085,1,0.29,1,0.92,1
"SLC33A1",0.67,0.26,0.28,0.45,0.0087,0.62,0.25,1,0.38,0.23,0.1,1,0.32,0.66,0.078,0.28,0.11,0.86,0.92,0.76,0.018,0.32,0.78,0.76,0.66,0.35,0.12,0.78,0.24,0.48,0.74,0.61,0.52
"SLC34A1",1,0.53,0.16,0.23,0.41,0.3,0.025,0.2,1,0.01,0.83,1,0.36,0.29,1,0.82,0.16,0.21,1,1,0.047,1,0.91,0.38,1,0.002,0.83,0.46,1,0.15,1,0.75,0.15
"SLC34A2",1,0.16,0.1,0.87,0.44,0.97,0.46,0.58,0.33,0.27,0.92,0.18,0.025,0.16,1,0.048,0.0053,0.029,0.048,0.54,0.075,1,0.25,0.12,0.6,0.41,0.44,0.42,0.07,0.69,0.12,0.26,0.79
"SLC34A3",0.0014,0.76,0.32,0.97,0.58,0.25,1,0.63,0.43,0.055,0.022,0.0022,0.67,0.4,0.23,0.48,0.92,0.87,0.46,0.67,0.46,0.36,0.86,0.44,0.7,0.99,0.91,0.92,0.22,0.8,0.7,0.21,0.25
"SLC35A1",0.041,0.68,0.37,0.64,0.33,0.78,0.46,0.72,0.27,0.91,0.013,0.027,0.013,0.65,0.28,1,0.036,0.3,0.98,0.054,0.14,0.64,0.68,0.037,0.38,0.18,0.39,0.35,0.54,0.1,0.5,0.37,0.1
"SLC35A2",0.78,1,1,0.76,0.68,0.15,0.76,0.43,0.19,0.16,0.79,0.87,0.42,0.97,1,0.0038,0.0054,0.51,0.4,0.76,0.017,0.97,0.63,0.96,0.52,0.49,0.12,0.48,0.32,0.96,0.81,0.54,0.0013
"SLC35A3",0.31,0.064,0.77,0.68,0.75,0.12,0.29,0.75,0.92,0.14,0.096,1,0.28,0.33,1,0.85,0.075,0.63,0.19,0.69,0.25,0.071,0.7,0.0071,0.9,0.26,0.13,0.8,0.056,0.18,0.71,0.66,0.81
"SLC35A4",0.51,0.75,0.045,0.28,0.55,0.39,0.79,0.91,0.57,0.38,0.017,1,0.028,0.017,0.019,0.0042,0.87,0.17,0.063,0.08,0.76,0.97,0.67,0.09,0.75,0.0084,0.23,0.77,0.53,0.87,0.55,0.3,0.0048
"SLC35A5",0.33,0.46,0.74,0.5,1,0.42,0.25,0.76,0.7,0.27,0.11,1,0.28,0.16,0.85,0.92,0.37,0.84,0.087,0.13,0.44,0.67,0.65,0.3,0.75,0.12,0.85,0.32,0.93,0.73,0.66,0.75,0.19
"SLC35B1",0.11,0.72,0.12,0.7,0.52,0.064,0.83,0.83,0.48,0.091,0.012,0.083,0.98,0.86,0.064,0.15,0.45,0.91,0.94,0.8,0.38,0.41,0.66,0.65,0.16,0.58,0.58,0.49,0.52,0.92,0.42,0.21,0.00047
"SLC35B2",0.1,0.2,0.022,0.076,0.55,0.23,0.52,0.28,0.41,0.94,0.019,0.27,0.86,0.36,0.053,0.0045,0.2,0.56,0.18,0.1,0.072,0.14,0.27,0.25,0.16,0.14,0.98,0.95,0.63,0.39,0.96,0.61,0.69
"SLC35B3",0.11,0.22,0.37,0.74,0.41,0.51,0.27,0.8,0.96,0.47,0.81,0.0029,0.79,0.36,0.0087,0.24,0.46,0.22,0.8,1,0.46,0.82,0.32,0.0013,0.13,0.32,0.84,0.75,0.058,0.079,0.91,0.37,0.83
"SLC35B4",0.011,0.97,0.19,0.022,0.19,0.48,0.58,0.81,0.026,0.74,0.65,0.00063,0.51,0.94,0.023,0.12,0.54,0.74,0.037,0.054,0.93,0.57,0.3,0.92,0.47,0.21,0.57,0.3,0.2,0.77,0.12,0.7,0.024
"SLC35C1",0.0029,0.028,0.00077,0.027,0.44,0.75,0.68,0.65,0.038,0.69,0.67,0.2,0.11,0.32,0.0095,0.34,0.13,0.024,0.93,0.4,0.7,0.36,0.88,0.89,0.6,0.39,0.32,0.18,0.16,0.15,0.49,0.8,0.019
"SLC35C2",0.25,0.79,0.012,0.87,0.22,0.23,0.43,0.41,0.031,0.31,0.81,0.074,0.52,0.8,0.002,0.0082,0.4,0.88,0.017,0.14,0.74,0.75,0.018,0.022,0.75,0.14,0.82,0.5,0.66,0.64,0.82,0.45,0.57
"SLC35D1",0.97,0.79,0.95,0.2,0.79,0.019,0.056,0.9,0.73,0.44,0.19,0.0015,0.65,0.19,1,0.5,0.026,0.47,0.23,0.56,0.33,0.32,0.62,0.25,0.04,0.48,0.73,0.31,0.045,0.85,0.99,0.63,0.69
"SLC35D2",0.00044,0.28,0.99,0.17,0.36,0.14,0.61,0.06,0.73,0.097,0.79,1,0.61,0.9,1,0.27,0.56,0.43,0.15,0.62,0.91,0.48,0.93,0.93,0.13,0.38,0.41,0.98,0.39,0.034,0.052,0.039,0.76
"SLC35D3",0.00016,0.36,0.46,0.62,1,0.46,1,0.93,0.47,0.28,1,1,1,0.85,0.00015,1,0.44,0.96,0.042,0.45,0.48,0.44,0.18,0.26,1,1,0.33,0.79,0.88,0.53,0.35,0.65,1
"SLC35E1",0.042,0.13,0.92,0.5,0.13,0.25,0.22,0.19,0.53,0.29,0.018,0.034,0.36,0.75,0.0039,0.63,0.78,0.89,0.33,0.053,0.52,0.33,0.75,0.56,0.6,0.13,0.83,0.48,0.49,0.013,0.72,0.69,0.0056
"SLC35E1P1",0.2,0.2,0.88,0.092,0.5,0.97,1,0.76,0.47,0.69,0.07,0.83,0.55,0.63,0.48,1,0.8,0.49,0.82,0.25,0.21,0.16,0.13,0.71,0.039,0.29,0.82,0.58,0.37,0.67,0.61,0.93,0.46
"SLC35E2",0.66,0.32,0.69,0.6,0.15,0.68,0.11,0.98,0.56,0.00088,0.29,0.41,0.33,0.32,0.76,0.14,0.71,0.019,0.098,0.55,0.063,0.73,0.7,0.038,0.53,0.96,0.5,0.78,0.077,0.93,0.75,0.039,0.65
"SLC35E2B",0.86,0.32,0.37,0.69,0.15,0.47,0.23,0.78,0.73,1,0.095,0.6,0.21,0.69,0.081,0.15,0.41,0.17,0.12,0.47,0.13,0.56,0.67,0.25,0.15,0.46,0.9,0.78,0.84,0.42,0.68,0.38,0.62
"SLC35E3",0.5,0.53,0.8,0.59,0.74,0.79,0.4,0.37,0.0058,0.2,0.058,0.032,0.89,0.076,0.4,0.054,0.13,0.52,0.52,0.92,0.11,0.37,0.62,0.41,0.49,0.068,0.38,0.3,0.11,0.0067,0.15,0.96,0.15
"SLC35E4",0.044,0.44,0.3,0.96,0.032,0.39,0.24,0.59,0.95,0.13,0.18,0.38,0.18,0.011,0.63,0.025,0.38,0.57,0.57,0.25,0.092,0.98,0.38,0.81,0.96,0.75,0.0089,0.47,0.34,0.018,0.93,0.45,0.39
"SLC35F1",0.0011,0.43,0.31,0.52,0.49,0.63,1,0.19,0.63,0.21,0.77,0.027,0.0058,1,0.54,0.67,0.4,0.47,0.41,0.47,0.061,0.54,0.23,0.97,0.85,0.1,0.0018,0.91,0.91,0.41,0.82,0.41,0.4
"SLC35F2",0.0012,0.64,0.73,0.026,0.42,0.23,0.21,0.79,0.72,0.2,0.065,0.7,0.098,0.62,0.15,0.31,0.0045,0.01,0.15,0.41,0.0023,0.12,0.81,0.025,0.66,0.96,0.58,0.33,0.53,0.55,0.33,0.92,0.0019
"SLC35F3",0.23,0.76,0.92,0.55,0.15,0.49,0.11,0.52,0.46,0.18,0.88,0.086,0.28,0.057,0.042,0.17,0.089,0.83,0.14,0.23,0.51,0.45,0.67,0.52,0.22,0.91,0.061,1,0.82,0.33,0.89,0.91,0.36
"SLC35F4",0.057,0.85,0.58,0.26,0.66,1,1,0.59,0.34,1,0.7,0.44,0.95,0.23,0.6,1,1,1,1,0.76,0.21,1,0.99,1,0.06,1,0.72,0.26,0.33,1,0.31,0.71,1
"SLC35F5",0.11,0.86,0.42,0.0053,0.36,0.7,0.23,0.4,0.81,0.17,0.25,1,0.83,0.091,1,0.056,0.049,0.88,0.81,0.18,0.22,0.69,0.46,0.96,0.16,0.74,0.23,0.33,0.93,0.83,0.02,0.41,0.64
"SLC35F6",0.64,0.028,0.32,0.031,1,0.66,0.62,0.42,0.61,0.15,0.055,0.23,0.98,0.75,0.002,0.0039,0.34,0.86,0.5,0.84,0.63,0.97,0.73,0.37,0.22,0.84,0.25,0.98,0.64,0.71,0.54,0.43,1
"SLC35G1",0.039,0.39,0.35,0.77,0.96,0.84,0.66,0.55,0.1,0.31,0.74,0.35,0.018,0.015,0.00073,0.05,0.37,0.14,0.93,0.43,0.25,0.35,0.35,0.19,0.35,0.9,0.69,0.44,0.8,0.57,0.18,0.11,0.73
"SLC35G2",0.41,0.57,0.34,0.012,0.28,0.037,0.58,0.6,0.91,0.17,0.087,0.97,0.87,0.54,0.00016,0.0094,0.059,0.32,0.28,0.17,0.044,0.4,0.37,0.34,0.28,0.033,0.023,0.75,0.069,0.48,0.36,0.8,0.28
"SLC35G3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.54,1,0.81,1,1,1
"SLC35G5",0.098,0.16,0.65,0.51,0.45,0.94,0.9,0.71,0.019,0.028,0.3,0.0034,0.76,0.15,0.56,0.81,0.17,0.22,0.085,1,0.77,0.14,0.97,0.17,0.52,0.78,0.63,0.93,0.89,0.77,0.29,0.85,0.74
"SLC35G6",1,1,0.73,0.35,0.64,0.018,0.84,0.36,0.47,0.056,0.65,0.073,0.1,0.6,0.52,1,0.48,0.033,0.78,0.64,0.066,0.68,0.43,0.32,0.41,0.18,0.21,0.14,0.31,0.045,0.91,0.5,0.27
"SLC36A1",0.16,0.81,0.32,0.63,0.77,0.51,0.31,0.79,0.23,0.88,0.023,0.02,0.065,0.064,0.21,0.0019,0.34,0.56,0.094,0.027,0.97,0.37,0.43,0.31,0.68,0.85,0.29,0.31,0.93,1,0.26,0.67,0.00086
"SLC36A2",1,0.13,1,1,1,1,1,1,1,0.14,1,0.23,0.28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.31,1,1,1,0.86,1
"SLC36A3",1,1,1,1,1,1,1,0.83,1,1,1,1,1,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SLC36A4",0.15,0.076,0.056,0.16,0.83,0.43,0.32,0.95,0.38,0.18,0.013,0.067,0.39,0.75,0.00091,0.085,0.0096,0.41,0.36,0.22,0.32,0.31,0.075,0.96,0.46,0.54,0.059,0.5,0.37,0.38,0.099,0.68,0.078
"SLC37A1",0.52,0.46,0.051,0.43,0.23,0.54,0.28,0.73,0.2,0.79,0.79,0.46,0.87,0.015,0.034,0.14,0.67,0.38,0.16,0.68,0.44,0.14,0.11,0.24,0.3,0.49,0.27,0.38,0.062,0.66,0.88,0.71,0.014
"SLC37A2",0.12,0.5,0.89,0.48,0.072,0.16,0.33,0.81,0.24,0.8,0.47,0.00094,0.034,0.13,0.006,0.19,0.052,0.11,0.0075,0.29,0.93,0.92,0.62,0.62,0.98,0.19,0.24,0.022,0.82,0.17,0.64,0.43,0.15
"SLC37A3",0.0062,0.64,0.87,0.11,0.27,0.89,0.81,0.54,0.25,0.62,0.42,0.75,0.19,0.37,0.016,0.16,0.2,0.47,0.0024,0.72,0.32,0.97,0.55,0.33,0.93,0.079,0.66,0.97,0.31,0.21,0.96,0.76,0.055
"SLC37A4",0.28,0.87,0.013,0.7,0.59,0.97,0.79,0.91,0.57,0.82,0.24,0.0089,0.0084,0.34,0.19,0.031,0.03,0.43,0.77,0.47,0.44,0.15,0.88,0.29,0.32,0.058,0.18,0.51,0.57,0.063,0.039,0.54,0.015
"SLC38A1",0.26,0.52,0.044,0.27,0.11,0.21,0.23,0.99,0.77,0.85,0.079,0.0031,0.93,0.017,0.0082,0.0029,0.015,0.56,0.049,0.26,0.18,0.92,0.77,0.084,0.73,0.022,0.12,0.98,0.27,0.61,0.091,0.63,0.51
"SLC38A10",0.23,0.51,0.99,0.71,0.33,0.98,0.61,0.049,0.52,0.47,0.97,0.029,0.0063,0.22,0.019,0.082,0.3,0.23,0.1,0.3,0.067,0.56,0.61,0.33,0.089,0.68,0.45,0.76,0.39,0.53,0.7,0.66,0.31
"SLC38A11",0.7,0.23,0.87,0.93,0.31,0.31,0.86,0.39,0.48,0.054,0.8,0.051,0.056,0.069,0.0047,0.31,0.56,0.55,0.9,1,0.039,0.2,0.18,0.95,0.0022,0.24,0.81,0.97,0.43,0.62,0.32,0.52,0.9
